id,statename,lganame,wardname,urban,landuse,NDVI,processed_date,geometry_x
10892340,Lagos,Amuwo Odofin,Abule Osun Onireke,Yes,farmland,0.4599447096138117,2024-03-29,"POLYGON ((3.2379023 6.4809353, 3.2337731 6.466376, 3.2249701 6.4653473, 3.2411009 6.4851372, 3.2251773 6.4890379, 3.2211345 6.4753628, 3.2158935 6.4751496, 3.2140535 6.4690838, 3.2388532 6.4584871, 3.2379023 6.4809353))"
732930393,Lagos,Amuwo Odofin,Abule Osun Onireke,Yes,farmland,0.4824721727295768,2024-03-29,"POLYGON ((3.243195 6.4768864, 3.2476036 6.4789975, 3.254002 6.4710409, 3.2542708 6.4777279, 3.2443583 6.4800688, 3.243195 6.4768864))"
10892340,Lagos,Alimosho,Ijegun,Yes,farmland,0.4599447096138117,2024-03-29,"POLYGON ((3.2379023 6.4809353, 3.2337731 6.466376, 3.2249701 6.4653473, 3.2411009 6.4851372, 3.2251773 6.4890379, 3.2211345 6.4753628, 3.2158935 6.4751496, 3.2140535 6.4690838, 3.2388532 6.4584871, 3.2379023 6.4809353))"
113524900,Lagos,Alimosho,Ijegun,Yes,farmland,0.44747524668629607,2024-03-29,"POLYGON ((3.2370934 6.5003804, 3.1997539 6.5395444, 3.1653787 6.511958, 3.1149393 6.5349765, 3.0893288 6.5671491, 3.0972038 6.5469189, 3.0792652 6.5522483, 3.129047 6.5158581, 3.0908845 6.5146962, 3.1016348 6.5003961, 3.1728796 6.5065785, 3.1897239 6.5198714, 3.2242172 6.4983094, 3.2187186 6.4806191, 3.2541323 6.477052, 3.2559691 6.4943893, 3.2370934 6.5003804))"
732930389,Lagos,Alimosho,Ijegun,Yes,farmland,0.5134534208529203,2024-03-29,"POLYGON ((3.2518851 6.4848175, 3.2594675 6.4776994, 3.2619846 6.4899407, 3.250712 6.4860957, 3.2518851 6.4848175))"
732930391,Lagos,Alimosho,Ijegun,Yes,farmland,0.3990869780101839,2024-03-29,"POLYGON ((3.2810354 6.4934772, 3.2888906 6.4891797, 3.2930719 6.5076256, 3.2867531 6.518186, 3.2841725 6.5146768, 3.2881314 6.5116708, 3.2832618 6.5065781, 3.2881743 6.4991296, 3.2616311 6.491557, 3.2748131 6.4807251, 3.2810354 6.4934772))"
732930392,Lagos,Alimosho,Ijegun,Yes,farmland,0.4886314207274893,2024-03-29,"POLYGON ((3.2546987 6.4769037, 3.2615474 6.4571905, 3.2677946 6.4587355, 3.2720401 6.480755, 3.2546987 6.4769037))"
732930393,Lagos,Alimosho,Ijegun,Yes,farmland,0.4824721727295768,2024-03-29,"POLYGON ((3.243195 6.4768864, 3.2476036 6.4789975, 3.254002 6.4710409, 3.2542708 6.4777279, 3.2443583 6.4800688, 3.243195 6.4768864))"
784089124,Lagos,Alimosho,Ijegun,Yes,farmland,0.5082119055395209,2024-03-29,"POLYGON ((3.2155287 6.4990763, 3.2272158 6.4916923, 3.2218729 6.5005081, 3.2180534 6.5011264, 3.2155287 6.4990763))"
10956234,Ogun,Ifo,Akute / Ajuwon,Yes,farmland,-0.010243161635695474,2024-03-29,"POLYGON ((3.3724701 6.6918284, 3.3685192 6.6866204, 3.3751134 6.6844188, 3.3844132 6.690558, 3.3724701 6.6918284))"
787813157,Ogun,Ifo,Akute / Ajuwon,Yes,farmland,0.08039965403519167,2024-03-29,"POLYGON ((3.3831872 6.6591782, 3.3819563 6.6651771, 3.378728 6.6681042, 3.378076 6.668268, 3.379695 6.6486871, 3.3831872 6.6591782))"
787827352,Ogun,Ifo,Akute / Ajuwon,Yes,farmland,0.16043321241287758,2024-03-29,"POLYGON ((3.3777755 6.6701595, 3.3811379 6.6740769, 3.3759252 6.6822877, 3.3718693 6.680416, 3.3777755 6.6701595))"
787827356,Ogun,Ifo,Akute / Ajuwon,Yes,farmland,0.10515014841996224,2024-03-29,"POLYGON ((3.3733714 6.6920256, 3.3795029 6.6952329, 3.3726895 6.7023623, 3.369348 6.6998308, 3.3733714 6.6920256))"
787827374,Ogun,Ifo,Akute / Ajuwon,Yes,farmland,0.025118219647188297,2024-03-29,"POLYGON ((3.3286121 6.6788981, 3.328101 6.6757273, 3.3357078 6.6737506, 3.3331436 6.6779971, 3.3286121 6.6788981))"
787827375,Ogun,Ifo,Akute / Ajuwon,Yes,farmland,-0.026315021265604165,2024-03-29,"POLYGON ((3.3327403 6.679281, 3.3327788 6.6807517, 3.3332777 6.6843853, 3.3328359 6.6866064, 3.3327403 6.679281))"
787827376,Ogun,Ifo,Akute / Ajuwon,Yes,farmland,0.26766062389726775,2024-03-29,"POLYGON ((3.3366563 6.6786074, 3.3359009 6.6775309, 3.3379582 6.6745578, 3.3397794 6.6753117, 3.3366563 6.6786074))"
